#	x	y	value.real	value.imag	value.abs
+1.120000e+01	+1.600000e+00	+4.011086e-01	+0.000000e+00	+4.011086e-01
+1.160000e+01	+1.600000e+00	+3.732785e-01	+0.000000e+00	+3.732785e-01
+1.200000e+01	+1.600000e+00	+3.469253e-01	+0.000000e+00	+3.469253e-01
+1.240000e+01	+1.600000e+00	+3.219436e-01	+0.000000e+00	+3.219436e-01
+1.280000e+01	+1.600000e+00	+2.982367e-01	+0.000000e+00	+2.982367e-01
+1.320000e+01	+1.600000e+00	+2.757115e-01	+0.000000e+00	+2.757115e-01
+1.360000e+01	+1.600000e+00	+2.542783e-01	+0.000000e+00	+2.542783e-01
+1.400000e+01	+1.600000e+00	+2.338509e-01	+0.000000e+00	+2.338509e-01
+1.440000e+01	+1.600000e+00	+2.143484e-01	+0.000000e+00	+2.143484e-01
+1.480000e+01	+1.600000e+00	+1.956926e-01	+0.000000e+00	+1.956926e-01
+1.520000e+01	+1.600000e+00	+1.778080e-01	+0.000000e+00	+1.778080e-01
+1.560000e+01	+1.600000e+00	+1.606229e-01	+0.000000e+00	+1.606229e-01
+1.600000e+01	+1.600000e+00	+1.440703e-01	+0.000000e+00	+1.440703e-01
+1.640000e+01	+1.600000e+00	+1.280839e-01	+0.000000e+00	+1.280839e-01
+1.680000e+01	+1.600000e+00	+1.126027e-01	+0.000000e+00	+1.126027e-01
+1.720000e+01	+1.600000e+00	+9.756558e-02	+0.000000e+00	+9.756558e-02
+1.760000e+01	+1.600000e+00	+8.291492e-02	+0.000000e+00	+8.291492e-02
+1.800000e+01	+1.600000e+00	+6.859469e-02	+0.000000e+00	+6.859469e-02
+1.840000e+01	+1.600000e+00	+5.454990e-02	+0.000000e+00	+5.454990e-02
+1.880000e+01	+1.600000e+00	+4.072283e-02	+0.000000e+00	+4.072283e-02
+1.920000e+01	+1.600000e+00	+2.705820e-02	+0.000000e+00	+2.705820e-02
+1.960000e+01	+1.600000e+00	+1.350307e-02	+0.000000e+00	+1.350307e-02
+2.000000e+01	+1.600000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00

+0.000000e+00	+2.000000e+00	+3.090170e+00	+0.000000e+00	+3.090170e+00
+4.000000e-01	+2.000000e+00	+2.902671e+00	+0.000000e+00	+2.902671e+00
+8.000000e-01	+2.000000e+00	+2.723007e+00	+0.000000e+00	+2.723007e+00
+1.200000e+00	+2.000000e+00	+2.555160e+00	+0.000000e+00	+2.555160e+00
+1.600000e+00	+2.000000e+00	+2.398490e+00	+0.000000e+00	+2.398490e+00
+2.000000e+00	+2.000000e+00	+2.251158e+00	+0.000000e+00	+2.251158e+00
+2.400000e+00	+2.000000e+00	+2.112698e+00	+0.000000e+00	+2.112698e+00
+2.800000e+00	+2.000000e+00	+1.982656e+00	+0.000000e+00	+1.982656e+00
+3.200000e+00	+2.000000e+00	+1.860546e+00	+0.000000e+00	+1.860546e+00
+3.600000e+00	+2.000000e+00	+1.745872e+00	+0.000000e+00	+1.745872e+00
+4.000000e+00	+2.000000e+00	+1.638144e+00	+0.000000e+00	+1.638144e+00
